developer_name,oblast,project_area,project_name,project_price_uah,title,town,type_and_count
,,,,,"
                Таунхаус HIGH HILLS
            ",Дніпро,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>0</td>
                                    </tr>
                        </table>"
ЗахБудКом,,,,,"
                Таунхауси Hodillywood 12.0
            ",Чернівці,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>0</td>
                                    </tr>
                        </table>"
ЗахБудКом,Чернівецька область,"<div class=""CottagePrices-cell -area"">102.72 м²</div>","<div class=""CottagePrices-cell -name"">Тип В</div>,<div class=""CottagePrices-cell -name"">Тип А</div>,<div class=""CottagePrices-cell -name"">Тип Б</div>","<div data-currency=""uah"" class="""">
                                                    2.89 млн грн
                                                </div>","
                Таунхауси Hodillywood 7.0
            ",с. Годилів,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>12</td>
                                    </tr>
                        </table>"
,Івано-Франківська область,"<div class=""CottagePrices-cell -area"">135 м²</div>,<div class=""CottagePrices-cell -area"">135 м²</div>,<div class=""CottagePrices-cell -area"">135 м²</div>","<div class=""CottagePrices-cell -name"">Проєкт 1</div>,<div class=""CottagePrices-cell -name"">Проєкт 1</div>,<div class=""CottagePrices-cell -name"">Проєкт 1</div>","<div data-currency=""uah"" class="""">
                                                    від 2.27 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    2.39 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 2.27 млн грн
                                                </div>","
                вул. Вовчинецька, 38
            ",с. Вовчинець,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>5</td>
                                            <td>5</td>
                                    </tr>
                        </table>"
,Черкаська область,,,,"
                Таунхауси „Європейський квартал“
            ",с. Червона Слобода,
Будівельний Альянс Груп,,"<div class=""CottagePrices-cell -area"">137.11 м²</div>,<div class=""CottagePrices-cell -area"">133.49 м²</div>","<div class=""CottagePrices-cell -name"">Тип 3.1</div>,<div class=""CottagePrices-cell -name"">Тип 2.2</div>,<div class=""CottagePrices-cell -name"">Тип 1.1</div>,<div class=""CottagePrices-cell -name"">Тип 1.2</div>,<div class=""CottagePrices-cell -name"">Тип 2.1</div>,<div class=""CottagePrices-cell -name"">Тип 3.2</div>","<div data-currency=""uah"" class="""">
                                                    від 3.2 млн грн
                                                </div>,<div data-currency=""uah"" class="""">
                                                    від 3.35 млн грн
                                                </div>","
                Таунхауси  „Мікрорайон Дендропарковий“
            ",Хмельницький,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>20</td>
                                            <td>43</td>
                                    </tr>
                        </table>"
Мегаінвестбуд,,,,,"
                Таунхаус  Shatilovka Hillside
            ",Харків,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>21</td>
                                    </tr>
                        </table>"
,Харківська область,,,,"
                КМ Графський
            ",с. Циркуни,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>52</td>
                                    </tr>
                        </table>"
,,,,,"
                КМ SKANDINAVSKY
            ",Харків,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>13</td>
                                            <td>0</td>
                                            <td>17</td>
                                    </tr>
                            <tr>
                    <td>Таунхауси</td>
                                            <td>13</td>
                                            <td>0</td>
                                            <td>6</td>
                                    </tr>
                        </table>"
,,,,,"
                КМ Добрі сусіди
            ",Харків,"<table class=""CottageConstruction-table"">
                    <tr>
                                    <th>Тип</th>
                                    <th>В проєкті</th>
                                    <th>Будуються</th>
                                    <th>Збудовані</th>
                            </tr>
                            <tr>
                    <td>Котеджі</td>
                                            <td>0</td>
                                            <td>0</td>
                                            <td>11</td>
                                    </tr>
                        </table>"
